orderID,productID,quantity,discount,orderDate,requiredDate,freight,unitPrice,customerID,employeeID,shipperID,shippedDate
10248,72,5,0,2013-07-04,2013-08-01,32.380001068115234,34.799999237060547,VINET,5,3,2013-07-16
10248,72,5,0,2013-07-04,2013-08-01,32.380001068115234,34.799999237060547,VINET,6,3,2013-07-16
10248,72,5,0,2013-07-04,2013-08-01,32.380001068115234,34.799999237060547,VINET,2,3,2013-07-16
10248,72,5,0,2013-07-04,2013-08-01,32.380001068115234,34.799999237060547,VINET,2,3,2013-07-16
10248,72,5,0,2013-07-04,2013-08-01,32.380001068115234,34.799999237060547,VINET,3,3,2013-07-16
10248,42,10,0,2013-07-04,2013-08-01,32.380001068115234,14,VINET,5,3,2013-07-16
10248,42,10,0,2013-07-04,2013-08-01,32.380001068115234,14,VINET,6,3,2013-07-16
10248,42,10,0,2013-07-04,2013-08-01,32.380001068115234,14,VINET,2,3,2013-07-16
10248,42,10,0,2013-07-04,2013-08-01,32.380001068115234,14,VINET,2,3,2013-07-16
10248,42,10,0,2013-07-04,2013-08-01,32.380001068115234,14,VINET,3,3,2013-07-16
10248,11,12,0,2013-07-04,2013-08-01,32.380001068115234,21,VINET,5,3,2013-07-16
10248,11,12,0,2013-07-04,2013-08-01,32.380001068115234,21,VINET,6,3,2013-07-16
10248,11,12,0,2013-07-04,2013-08-01,32.380001068115234,21,VINET,2,3,2013-07-16
10248,11,12,0,2013-07-04,2013-08-01,32.380001068115234,21,VINET,2,3,2013-07-16
10248,11,12,0,2013-07-04,2013-08-01,32.380001068115234,21,VINET,3,3,2013-07-16
10249,51,40,0,2013-07-05,2013-08-16,11.609999656677246,53,TOMSP,6,1,2013-07-10
10249,51,40,0,2013-07-05,2013-08-16,11.609999656677246,53,TOMSP,3,1,2013-07-10
10249,51,40,0,2013-07-05,2013-08-16,11.609999656677246,53,TOMSP,4,1,2013-07-10
10249,51,40,0,2013-07-05,2013-08-16,11.609999656677246,53,TOMSP,2,1,2013-07-10
10249,51,40,0,2013-07-05,2013-08-16,11.609999656677246,53,TOMSP,3,1,2013-07-10
10249,51,40,0,2013-07-05,2013-08-16,11.609999656677246,53,TOMSP,6,1,2013-07-10
10249,14,9,0,2013-07-05,2013-08-16,11.609999656677246,23.25,TOMSP,6,1,2013-07-10
